iter:  800.0 , lambda:  1 , alpha:  0.0 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [6.08172530e-04 8.24021498e-05 3.08983865e-04 ... 5.52140717e-04
loss:  -35.22482638090378
loss:  -35.261877380884144
loss:  -35.26774549091073
loss:  -35.20662532218808
loss:  -38.09065017782082
loss:  -38.00585479947555
loss:  -38.04352760526633
loss:  -38.128760597852526
loss:  -37.13143134585139
loss:  -37.1945325805179
loss:  -37.66816719298051
loss:  -37.249777267235125
loss:  -37.26069581820686
loss:  -37.251159214029784
loss:  -37.151365758257896
loss:  -37.22584374424259
loss:  -38.04242914152357
loss:  -37.12630841540027
loss:  -37.55067376337753
loss:  -38.02190595278442
loss:  -37.17707509055486
loss:  -37.22519986050743
loss:  -40.13834764252565
loss:  -40.20529489027518
loss:  -39.24362091153535
loss:  -39.480913969402096
loss:  -39.254497885914745
loss:  -39.24624312951905
loss:  -39.2894676890566
loss:  -39.27483584727232
loss:  -39.279822608714
loss:  -39.21386033948383
loss:  -42.15461059635229
loss:  -42.208243157695634
loss:  -41.23733068787495
loss:  -44.13808394433684
loss:  -44.16490135441498
loss:  -43.49218476876939
loss:  -43.458684169539296
loss:  -43.36490705060003
loss:  -43.403002552554355
loss:  -43.46003188078178
loss:  -43.30812101265723
loss:  -43.21531664149455
loss:  -43.446671560342374
loss:  -43.432498466220096
loss:  -43.295549843245595
loss:  -43.30881982883273
loss:  -44.638727252985255
loss:  -43.81804600217325
loss:  -43.93609278896067
loss:  -43.90197826759477
loss:  -43.75396146578492
loss:  -43.868704212314825
loss:  -43.71438792373764
loss:  -46.46996982863838
loss:  -46.630671398030636
loss:  -48.4006142542255
loss:  -48.53814400743255
loss:  -47.675524025867226
loss:  -50.43136812738972
loss:  -50.544436334421945
loss:  -49.59796835605489
loss:  -49.68868392948397
loss:  -49.663129820247555
loss:  -49.59257130567911
loss:  -49.60408215190117
loss:  -49.65504176386894
loss:  -49.66849722390819
loss:  -52.427694916999684
loss:  -52.4403986008197
loss:  -51.55206113908885
loss:  -51.531991285930076
loss:  -51.53995750041709
loss:  -51.77020971620134
loss:  -51.410085763145545
loss:  -54.24964471580366
loss:  -54.33680096561166
loss:  -55.32185909559486
loss:  -54.49518957414155
loss:  -54.33276711668141
loss:  -54.31779226970139
loss:  -54.64565237890219
loss:  -54.31994546302144
loss:  -54.36143380901586
loss:  -54.17719818319558
loss:  -57.173281139249376
loss:  -56.937191455040065
loss:  -57.26534587283973
loss:  -56.47915682395605
loss:  -56.236956138103636
loss:  -56.19485090762959
loss:  -56.32909478619639
loss:  -59.17894088424759
loss:  -60.66280635722363
loss:  -60.76058187869076
loss:  -59.79062441606463
loss:  -59.88430534171453
loss:  -62.70625085554032
loss:  -62.729309640024894
loss:  -62.81768291894491
loss:  -64.6973188526493
loss:  -64.65790831903722
loss:  -65.16876504490163
loss:  -65.28728259246773
loss:  -64.32928260345358
loss:  -64.39456574166707
loss:  -67.02937388234109
loss:  -67.03563877058527
loss:  -66.2113541511104
loss:  -66.10805811654804
loss:  -66.09126185194235
loss:  -66.15937888293257
loss:  -66.10914253108142
loss:  -65.86880027388901
loss:  -66.14865602246468
loss:  -66.1484900150965
loss:  -66.11816335611807
loss:  -67.59015542627401
loss:  -69.16240919661823
loss:  -69.17036156721197
loss:  -68.17903947062975
loss:  -68.3392116298874
loss:  -68.23803678778104
loss:  -68.57556764148048
loss:  -67.96313326821524
loss:  -67.94527166230733
loss:  -68.45719507358594
loss:  -68.033769665254
loss:  -68.60740586143304
loss:  -68.20013095922901
loss:  -68.2508097957187
loss:  -68.58819327060073
loss:  -68.64991768632436
loss:  -68.02131472188717
loss:  -71.01351249457151
loss:  -71.42752980295325
loss:  -70.201623808906
loss:  -70.22513119638683
loss:  -70.44655797549964
loss:  -73.0662936167628
loss:  -73.09624305717414
loss:  -72.13982585882677
loss:  -75.01600272926446
loss:  -75.29473312861792
loss:  -74.39163281322757
loss:  -74.48714373509262
loss:  -76.95242938319893
loss:  -77.44744568635589
loss:  -77.52960958054345
loss:  -77.00894800710181
loss:  -76.52496776728549
loss:  -76.71847698305659
loss:  -76.76967568493944
loss:  -76.71374631793344
loss:  -79.44045087438364
loss:  -80.3566300477407
loss:  -81.45162009405698
loss:  -80.91232836573752
loss:  -80.94734546393768
loss:  -82.41638504727324
loss:  -83.54633685972266
loss:  -83.58829999430131
loss:  -85.12767757744757
loss:  -86.1061275177255
loss:  -87.11342322152845
loss:  -88.1018738782081
